Archeopart_Subtype,2,العصر النحاسي
Archeopart_Subtype,3,العصر البرونزي
Archeopart_Subtype,4,العصر الحديدي
Archeopart_Subtype,5,العصور القديمة
Archeopart_Subtype,6,صدر الاسلام
Archeopart_Subtype,7,الدولة الأموية
Archeopart_Subtype,8,الدولة العباسية
Archeopart_Subtype,9,العهد العثماني
Archeopart_Subtype,10,الدولة السعودية الأولى
Archeopart_Subtype,11,الدولة السعودية الثانية
Archeopart_Subtype,12,الدولة السعودية الثالثة
Archeopart_Subtype,13,المملكة العربية السعودية
Archeopart_Subtype,14,اخرى
Occupation_Status,1,مستخدم
Occupation_Status,2,غير مستخدم
Investe_Status,1,مستثمر
Investe_Status,2,غير مستثمر
PipeLine_Diameter,1,200
PipeLine_Diameter,2,250
PipeLine_Diameter,3,300
PipeLine_Diameter,4,350
PipeLine_Diameter,5,400
PipeLine_Diameter,6,450
PipeLine_Diameter,7,500
PipeLine_Diameter,8,550
PipeLine_Diameter,9,600
PipeLine_Diameter,10,650
PipeLine_Diameter,11,700
PipeLine_Diameter,12,750
PipeLine_Diameter,13,800
PipeLine_Diameter,14,850
PipeLine_Diameter,15,900
PipeLine_Diameter,16,950
PipeLine_Diameter,17,1000
PipeLine_Diameter,18,1100
PipeLine_Diameter,19,1150
PipeLine_Diameter,20,1200
PipeLine_Diameter,21,1300
PipeLine_Diameter,22,1400
PipeLine_Diameter,23,1500
PipeLine_Diameter,24,1600
PipeLine_Diameter,25,1700
PipeLine_Diameter,26,1800
PipeLine_Diameter,27,2000
PipeLine_Diameter,28,Other
PumpStationType,1,Axial Flow
PumpStationType,2,Centrifugal
PumpStationType,3,Jet
PumpStationType,4,Reciprocating
PumpStationType,5,Rotary
PumpStationType,6,Screw
PumpStationType,7,Submersible
PumpStationType,8,Sump
PumpStationType,9,Turbine
PumpStationType,10,Other
WaterStructure_Type,1,محطة رفع
WaterStructure_Type,2,محطة تنقية
WaterStructure_Type,3,محطة تحلية
WaterStructure_Type,4,محطة توزيع
WaterStructure_Type,5,خزان
WaterStructure_Type,5,أخرى
WaterSysValve_Type,1,Isolation Valve
WaterSysValve_Type,2,Check Valve
WaterSysValve_Type,3,Flow Regulation Valve
WaterSysValve_Type,4,Presure Regulation Valve
WaterSysValve_Type,5,Air Release Valve
WaterSysValve_Type,6,Washout Valve
WaterSysValve_Type,7,Other
Need_add_board,1,نعم
Need_add_board,2,لا
Pipe_Line_Material,1,Asbestos Cement
Pipe_Line_Material,2,Ductile Iron
Pipe_Line_Material,3,Glass Fiber Reinforced Plastics
Pipe_Line_Material,4,PVC
Pipe_Line_Material,5,Reinforced Concrete
Pipe_Line_Material,6,Steel
Pipe_Line_Material,7,Vitrified Clay Pipe Extra Stringth
Pipe_Line_Material,8,Vitrified Clay Pipe Standard Stringth
Pipe_Line_Material,9,Other
Education_level,1,تعليم جامعي حكومي
Education_level,2,تعليم جامعي خاص
Education_level,3,معهد حكومي
Education_level,4,معهد خاص
Education_level,5,ثانوي نموذجي بنين
Education_level,6,ثانوي نموذجي بنات
Education_level,7,ثانوي عادي بنين
Education_level,8,ثانوي عادي بنات
Education_level,9,تحفيظ قران ثانوي بنين
Education_level,10,تحفيظ قران ثانوي بنات
Education_level,11,ثانوي خاص
Education_level,12,ثانوي فني
Education_level,13,متوسط بنين
Education_level,14,متوسط بنات
Education_level,15,تحفيظ قران متوسط بنين
Education_level,16,تحفيظ قران متوسط بنات
Education_level,17,متوسط خاص
Education_level,18,ابتدائي بنين
Education_level,19,ابتدائي بنات
Education_level,20,ابتدائي بنين وبنات
Education_level,21,تحفيظ قران بنين
Education_level,22,تحفيظ قران بنات
Education_level,23,تحفيظ قران بنين وبنات
Education_level,24,ابتدائي خاص
Education_level,25,روضة بنين
Education_level,26,روضة بنات
